  ZR    Vel     logg logTeff  y1(CHEOPS)    
  ZR    Vel     logg logTeff  y2(CHEOPS)  
  0.00  0.000   1.50  3.954    0.5355
  0.00  0.000   1.50  3.954    0.0178
  0.00  0.000   2.00  3.544    3.0408
  0.00  0.000   2.00  3.544   -0.0279
  0.00  0.000   2.00  3.574    2.3218
  0.00  0.000   2.00  3.574   -0.0158
  0.00  0.000   2.00  3.602    1.7793
  0.00  0.000   2.00  3.602   -0.0045
  0.00  0.000   2.00  3.628    1.5195
  0.00  0.000   2.00  3.628   -0.0007
  0.00  0.000   2.00  3.653    1.3857
  0.00  0.000   2.00  3.653   -0.0002
  0.00  0.000   2.00  3.677    1.2881
  0.00  0.000   2.00  3.677   -0.0010
  0.00  0.000   2.00  3.699    1.2102
  0.00  0.000   2.00  3.699   -0.0020
  0.00  0.000   2.00  3.720    1.1455
  0.00  0.000   2.00  3.720   -0.0034
  0.00  0.000   2.00  3.740    1.0961
  0.00  0.000   2.00  3.740   -0.0046
  0.00  0.000   2.00  3.760    1.0710
  0.00  0.000   2.00  3.760   -0.0052
  0.00  0.000   2.00  3.778    1.0481
  0.00  0.000   2.00  3.778   -0.0069
  0.00  0.000   2.00  3.796    1.0923
  0.00  0.000   2.00  3.796   -0.0194
  0.00  0.000   2.00  3.813    1.1258
  0.00  0.000   2.00  3.813   -0.0260
  0.00  0.000   2.00  3.829    1.0762
  0.00  0.000   2.00  3.829   -0.0233
  0.00  0.000   2.00  3.845    1.0300
  0.00  0.000   2.00  3.845   -0.0198
  0.00  0.000   2.00  3.860    0.9498
  0.00  0.000   2.00  3.860   -0.0133
  0.00  0.000   2.00  3.875    0.8616
  0.00  0.000   2.00  3.875   -0.0067
  0.00  0.000   2.00  3.889    0.8028
  0.00  0.000   2.00  3.889   -0.0042
  0.00  0.000   2.00  3.903    0.7482
  0.00  0.000   2.00  3.903   -0.0020
  0.00  0.000   2.00  3.916    0.6910
  0.00  0.000   2.00  3.916    0.0005
  0.00  0.000   2.00  3.929    0.6385
  0.00  0.000   2.00  3.929    0.0032
  0.00  0.000   2.00  3.942    0.5982
  0.00  0.000   2.00  3.942    0.0055
  0.00  0.000   2.00  3.954    0.5719
  0.00  0.000   2.00  3.954    0.0075
  0.00  0.000   2.00  3.966    0.5511
  0.00  0.000   2.00  3.966    0.0051
  0.00  0.000   2.00  3.978    0.5354
  0.00  0.000   2.00  3.978    0.0061
  0.00  0.000   2.00  3.989    0.5240
  0.00  0.000   2.00  3.989    0.0066
  0.00  0.000   2.00  4.000    0.5140
  0.00  0.000   2.00  4.000    0.0068
  0.00  0.000   2.00  4.011    0.5030
  0.00  0.000   2.00  4.011    0.0070
  0.00  0.000   2.00  4.021    0.4935
  0.00  0.000   2.00  4.021    0.0073
  0.00  0.000   2.00  4.031    0.4852
  0.00  0.000   2.00  4.031    0.0076
  0.00  0.000   2.00  4.041    0.4759
  0.00  0.000   2.00  4.041    0.0077
  0.00  0.000   2.00  4.051    0.4684
  0.00  0.000   2.00  4.051    0.0080
  0.00  0.000   2.00  4.061    0.4622
  0.00  0.000   2.00  4.061    0.0078
  0.00  0.000   2.00  4.070    0.4567
  0.00  0.000   2.00  4.070    0.0081
  0.00  0.000   2.00  4.079    0.4528
  0.00  0.000   2.00  4.079    0.0074
  0.00  0.000   2.00  4.088    0.4501
  0.00  0.000   2.00  4.088    0.0074
  0.00  0.000   2.00  4.097    0.4474
  0.00  0.000   2.00  4.097    0.0063
  0.00  0.000   2.00  4.106    0.4461
  0.00  0.000   2.00  4.106    0.0061
  0.00  0.000   2.00  4.114    0.4451
  0.00  0.000   2.00  4.114    0.0049
  0.00  0.000   2.00  4.146    0.4471
  0.00  0.000   2.00  4.146    0.0015
  0.00  0.000   2.00  4.176    0.4495
  0.00  0.000   2.00  4.176   -0.0022
  0.00  0.000   2.00  4.204    0.4493
  0.00  0.000   2.00  4.204   -0.0027
  0.00  0.000   2.50  3.544    3.0725
  0.00  0.000   2.50  3.544   -0.0122
  0.00  0.000   2.50  3.574    2.3658
  0.00  0.000   2.50  3.574   -0.0172
  0.00  0.000   2.50  3.602    1.8154
  0.00  0.000   2.50  3.602   -0.0068
  0.00  0.000   2.50  3.628    1.5325
  0.00  0.000   2.50  3.628   -0.0017
  0.00  0.000   2.50  3.653    1.3865
  0.00  0.000   2.50  3.653   -0.0005
  0.00  0.000   2.50  3.677    1.2850
  0.00  0.000   2.50  3.677   -0.0006
  0.00  0.000   2.50  3.699    1.2048
  0.00  0.000   2.50  3.699   -0.0010
  0.00  0.000   2.50  3.720    1.1405
  0.00  0.000   2.50  3.720   -0.0022
  0.00  0.000   2.50  3.740    1.0911
  0.00  0.000   2.50  3.740   -0.0030
  0.00  0.000   2.50  3.760    1.0579
