  logg    Teff     ZR    y1(CHEOPS)    
  logg    Teff     ZR    y2(CHEOPS)    
  3.50    3600.   0.0000   0.0472
  3.50    3700.   0.0000   2.0448
  3.50    3700.   0.0000   0.0210
  3.50    3800.   0.0000   1.9887
  3.50    3800.   0.0000   0.0027
  3.50    3900.   0.0000   1.8924
  3.50    3900.   0.0000  -0.0086
  3.50    4000.   0.0000   1.7861
  3.50    4000.   0.0000  -0.0095
  3.50    4100.   0.0000   1.7110
  3.50    4100.   0.0000  -0.0078
  3.50    4200.   0.0000   1.6457
  3.50    4200.   0.0000  -0.0090
  3.50    4300.   0.0000   1.5975
  3.50    4300.   0.0000  -0.0093
  3.50    4400.   0.0000   1.5380
  3.50    4400.   0.0000  -0.0056
  3.50    4500.   0.0000   1.4844
  3.50    4500.   0.0000  -0.0049
  3.50    4600.   0.0000   1.4568
  3.50    4600.   0.0000  -0.0035
  3.50    4700.   0.0000   1.4106
  3.50    4700.   0.0000  -0.0011
  3.50    4800.   0.0000   1.3396
  3.50    4800.   0.0000  -0.0008
  3.50    4900.   0.0000   1.2790
  3.50    4900.   0.0000  -0.0012
  3.50    5100.   0.0000   1.2609
  3.50    5100.   0.0000  -0.0047
  3.50    5200.   0.0000   1.2228
  3.50    5200.   0.0000  -0.0037
  3.50    5300.   0.0000   1.1867
  3.50    5300.   0.0000  -0.0024
  3.50    5400.   0.0000   1.2255
  3.50    5400.   0.0000  -0.0047
  3.50    5500.   0.0000   1.2035
  3.50    5500.   0.0000  -0.0016
  3.50    5600.   0.0000   1.1328
  3.50    5600.   0.0000  -0.0034
  3.50    5700.   0.0000   1.0940
  3.50    5700.   0.0000  -0.0033
  3.50    5800.   0.0000   1.1398
  3.50    5800.   0.0000  -0.0054
  3.50    5900.   0.0000   1.1739
  3.50    5900.   0.0000  -0.0044
  3.50    6000.   0.0000   1.1226
  3.50    6000.   0.0000  -0.0064
  3.50    6100.   0.0000   1.1291
  3.50    6100.   0.0000  -0.0095
  3.50    6200.   0.0000   1.0965
  3.50    6200.   0.0000  -0.0089
  3.50    6300.   0.0000   1.0509
  3.50    6300.   0.0000  -0.0069
  3.50    6400.   0.0000   1.0732
